Subject_Index,REM_Cycle_Index,Cumulative_Percentage,Cumulative_Time,REMpre,NREM,Wake,Movement,IREM,REMpost,Age
MOUSE_DARK_001,MOUSE_DARK_001_C1,20.08101851851852,8675.0,37.5,3115.0,1045.0,0.0,4160.0,22.5,
MOUSE_DARK_001,MOUSE_DARK_001_C2,29.797453703703702,12872.5,22.5,1137.5,3532.5,0.0,4670.0,90.0,
MOUSE_DARK_001,MOUSE_DARK_001_C3,40.65972222222222,17565.0,90.0,515.0,82.5,0.0,597.5,47.5,
MOUSE_DARK_001,MOUSE_DARK_001_C4,42.251157407407405,18252.5,47.5,502.5,100.0,0.0,602.5,45.0,
MOUSE_DARK_001,MOUSE_DARK_001_C5,43.75578703703704,18902.5,45.0,1252.5,1090.0,0.0,2342.5,77.5,
MOUSE_DARK_001,MOUSE_DARK_001_C6,49.282407407407405,21290.0,77.5,755.0,187.5,0.0,942.5,27.5,
MOUSE_DARK_001,MOUSE_DARK_001_C7,51.64351851851852,22310.0,27.5,325.0,360.0,0.0,685.0,12.5,
MOUSE_DARK_001,MOUSE_DARK_001_C8,53.292824074074076,23022.5,12.5,492.5,75.0,0.0,567.5,32.5,
MOUSE_DARK_001,MOUSE_DARK_001_C9,54.63541666666667,23602.5,32.5,232.5,92.5,0.0,325.0,32.5,
MOUSE_DARK_001,MOUSE_DARK_001_C10,55.46296296296296,23960.0,32.5,1077.5,170.0,0.0,1247.5,80.0,
MOUSE_DARK_001,MOUSE_DARK_001_C11,58.425925925925924,25240.0,80.0,1035.0,2430.0,0.0,3465.0,97.5,
MOUSE_DARK_001,MOUSE_DARK_001_C12,66.63194444444444,28785.0,97.5,852.5,55.0,0.0,907.5,22.5,
MOUSE_DARK_001,MOUSE_DARK_001_C13,68.95833333333333,29790.0,22.5,770.0,87.5,0.0,857.5,22.5,
MOUSE_DARK_001,MOUSE_DARK_001_C14,70.99537037037037,30670.0,22.5,22.5,22.5,0.0,45.0,105.0,
MOUSE_DARK_001,MOUSE_DARK_001_C15,71.15162037037037,30737.5,105.0,467.5,542.5,0.0,1010.0,67.5,
MOUSE_DARK_001,MOUSE_DARK_001_C16,73.73263888888889,31852.5,67.5,567.5,117.5,0.0,685.0,40.0,
MOUSE_DARK_001,MOUSE_DARK_001_C17,75.47453703703704,32605.0,40.0,530.0,107.5,0.0,637.5,75.0,
MOUSE_DARK_001,MOUSE_DARK_001_C18,77.04282407407408,33282.5,75.0,725.0,965.0,0.0,1690.0,60.0,
