Subject_Index,REM_Cycle_Index,Cumulative_Percentage,Cumulative_Time,REMpre,NREM,Wake,Movement,IREM,REMpost,Age
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C1,22.37173365743554,6442.5,30.0,355.0,77.5,0.0,432.5,37.5,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C2,23.977775848597968,6905.0,37.5,640.0,165.0,0.0,805.0,90.0,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C3,26.90337702925601,7747.5,90.0,872.5,430.0,0.0,1302.5,62.5,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C4,31.73886622102613,9140.0,62.5,270.0,120.0,0.0,390.0,10.0,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C5,33.31018317562288,9592.5,10.0,240.0,25.0,0.0,265.0,45.0,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C6,34.265127181178926,9867.5,45.0,30.0,12.5,0.0,42.5,62.5,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C7,34.56897300112857,9955.0,62.5,562.5,110.0,0.0,672.5,32.5,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C8,37.12127788870562,10690.0,32.5,60.0,22.5,0.0,82.5,30.0,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C9,37.520618109210865,10805.0,30.0,415.0,80.0,0.0,495.0,22.5,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C10,39.34369302890876,11330.0,22.5,472.5,115.0,0.0,587.5,137.5,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C11,41.46193245941488,11940.0,137.5,680.0,102.5,0.0,782.5,50.0,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C12,44.6566542234569,12860.0,50.0,140.0,30.0,0.0,170.0,100.0,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C13,45.420609427901724,13080.0,100.0,512.5,127.5,0.0,640.0,25.0,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C14,47.99027693376161,13820.0,25.0,177.5,67.5,0.0,245.0,60.0,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C15,48.92785832103481,14090.0,60.0,945.0,952.5,0.0,1897.5,110.0,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C16,55.72532337876552,16047.5,110.0,825.0,142.5,0.0,967.5,100.0,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C17,59.46696761871691,17125.0,100.0,1812.5,3615.0,0.0,5427.5,162.5,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C18,78.66134213039327,22652.5,162.5,665.0,655.0,0.0,1320.0,17.5,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C19,83.80935845125444,24135.0,17.5,317.5,35.0,0.0,352.5,7.5,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C20,85.0941922041844,24505.0,7.5,100.0,45.0,0.0,145.0,25.0,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C21,85.62375206181092,24657.5,25.0,227.5,52.5,0.0,280.0,2.5,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C22,86.68287177706398,24962.5,2.5,315.0,167.5,0.0,482.5,132.5,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C23,88.36704575049917,25447.5,132.5,402.5,95.0,0.0,497.5,5.0,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C24,90.55473565413664,26077.5,5.0,120.0,12.5,0.0,132.5,85.0,
MOUSE_LIGHT_001,MOUSE_LIGHT_001_C25,91.03220765691466,26215.0,85.0,932.5,1565.0,0.0,2497.5,,
MOUSE_LIGHT_002,MOUSE_LIGHT_002_C1,10.686691553086206,3077.5,85.0,1962.5,765.0,0.0,2727.5,72.5,
MOUSE_LIGHT_002,MOUSE_LIGHT_002_C2,20.45316433718205,5890.0,72.5,295.0,37.5,0.0,332.5,15.0,
MOUSE_LIGHT_002,MOUSE_LIGHT_002_C3,21.85953641809185,6295.0,15.0,182.5,37.5,0.0,220.0,10.0,
MOUSE_LIGHT_002,MOUSE_LIGHT_002_C4,22.67557947738519,6530.0,10.0,117.5,37.5,0.0,155.0,45.0,
MOUSE_LIGHT_002,MOUSE_LIGHT_002_C5,23.24854588071881,6695.0,45.0,47.5,17.5,0.0,65.0,5.0,
MOUSE_LIGHT_002,MOUSE_LIGHT_002_C6,23.630523482941225,6805.0,5.0,215.0,67.5,0.0,282.5,30.0,
MOUSE_LIGHT_002,MOUSE_LIGHT_002_C7,24.628874034204358,7092.5,30.0,495.0,122.5,0.0,617.5,7.5,
