Subject_Index,REM_Cycle_Index,Cumulative_Percentage,Cumulative_Time,REMpre,NREM,Wake,Movement,IREM,REMpost,Age
RAT_LIGHT_001,RAT_LIGHT_001_C1,7.712962962962963,3332.0,92.0,284.0,748.0,0.0,1032.0,4.0,
RAT_LIGHT_001,RAT_LIGHT_001_C2,10.314814814814815,4456.0,4.0,548.0,868.0,0.0,1416.0,4.0,
RAT_LIGHT_001,RAT_LIGHT_001_C3,13.601851851851851,5876.0,4.0,96.0,16.0,0.0,112.0,4.0,
RAT_LIGHT_001,RAT_LIGHT_001_C4,13.870370370370368,5992.0,4.0,28.0,0.0,0.0,28.0,136.0,
RAT_LIGHT_001,RAT_LIGHT_001_C5,13.944444444444445,6024.0,136.0,36.0,0.0,0.0,36.0,32.0,
RAT_LIGHT_001,RAT_LIGHT_001_C6,14.342592592592593,6196.0,32.0,588.0,620.0,0.0,1208.0,8.0,
RAT_LIGHT_001,RAT_LIGHT_001_C7,17.212962962962962,7436.0,8.0,16.0,0.0,0.0,16.0,12.0,
RAT_LIGHT_001,RAT_LIGHT_001_C8,17.26851851851852,7460.0,12.0,32.0,28.0,0.0,60.0,8.0,
RAT_LIGHT_001,RAT_LIGHT_001_C9,17.435185185185183,7532.0,8.0,36.0,16.0,0.0,52.0,8.0,
RAT_LIGHT_001,RAT_LIGHT_001_C10,17.574074074074076,7592.0,8.0,156.0,860.0,0.0,1016.0,4.0,
RAT_LIGHT_001,RAT_LIGHT_001_C11,19.944444444444446,8616.0,4.0,64.0,20.0,0.0,84.0,16.0,
RAT_LIGHT_001,RAT_LIGHT_001_C12,20.14814814814815,8704.0,16.0,224.0,64.0,0.0,288.0,4.0,
RAT_LIGHT_001,RAT_LIGHT_001_C13,20.85185185185185,9008.0,4.0,76.0,356.0,0.0,432.0,4.0,
RAT_LIGHT_001,RAT_LIGHT_001_C14,21.86111111111111,9444.0,4.0,124.0,32.0,0.0,156.0,4.0,
RAT_LIGHT_001,RAT_LIGHT_001_C15,22.23148148148148,9604.0,4.0,216.0,172.0,0.0,388.0,12.0,
RAT_LIGHT_001,RAT_LIGHT_001_C16,23.13888888888889,9996.0,12.0,148.0,316.0,0.0,464.0,4.0,
RAT_LIGHT_001,RAT_LIGHT_001_C17,24.24074074074074,10472.0,4.0,308.0,184.0,0.0,492.0,4.0,
RAT_LIGHT_001,RAT_LIGHT_001_C18,25.38888888888889,10968.0,4.0,352.0,1080.0,0.0,1432.0,8.0,
RAT_LIGHT_001,RAT_LIGHT_001_C19,28.712962962962962,12404.0,8.0,88.0,4.0,0.0,92.0,12.0,
RAT_LIGHT_001,RAT_LIGHT_001_C20,28.944444444444446,12504.0,12.0,408.0,1476.0,0.0,1884.0,16.0,
RAT_LIGHT_001,RAT_LIGHT_001_C21,33.33333333333333,14400.0,16.0,96.0,16.0,0.0,112.0,188.0,
RAT_LIGHT_001,RAT_LIGHT_001_C22,33.62962962962963,14528.0,188.0,1100.0,1256.0,0.0,2356.0,8.0,
RAT_LIGHT_001,RAT_LIGHT_001_C23,39.51851851851852,17072.0,8.0,116.0,68.0,0.0,184.0,8.0,
RAT_LIGHT_001,RAT_LIGHT_001_C24,39.96296296296296,17264.0,8.0,200.0,284.0,0.0,484.0,4.0,
RAT_LIGHT_001,RAT_LIGHT_001_C25,41.10185185185185,17756.0,4.0,276.0,1248.0,0.0,1524.0,136.0,
RAT_LIGHT_001,RAT_LIGHT_001_C26,44.638888888888886,19284.0,136.0,532.0,908.0,0.0,1440.0,20.0,
RAT_LIGHT_001,RAT_LIGHT_001_C27,48.28703703703704,20860.0,20.0,176.0,64.0,0.0,240.0,124.0,
RAT_LIGHT_001,RAT_LIGHT_001_C28,48.888888888888886,21120.0,124.0,152.0,52.0,0.0,204.0,8.0,
RAT_LIGHT_001,RAT_LIGHT_001_C29,49.648148148148145,21448.0,8.0,700.0,1308.0,0.0,2008.0,8.0,
RAT_LIGHT_001,RAT_LIGHT_001_C30,54.31481481481482,23464.0,8.0,652.0,504.0,0.0,1156.0,8.0,
RAT_LIGHT_001,RAT_LIGHT_001_C31,57.00925925925926,24628.0,8.0,568.0,1392.0,0.0,1960.0,136.0,
RAT_LIGHT_001,RAT_LIGHT_001_C32,61.56481481481482,26596.0,136.0,540.0,532.0,0.0,1072.0,24.0,
RAT_LIGHT_001,RAT_LIGHT_001_C33,64.36111111111111,27804.0,24.0,212.0,156.0,0.0,368.0,4.0,
RAT_LIGHT_001,RAT_LIGHT_001_C34,65.26851851851852,28196.0,4.0,40.0,0.0,0.0,40.0,12.0,
RAT_LIGHT_001,RAT_LIGHT_001_C35,65.37037037037037,28240.0,12.0,96.0,100.0,0.0,196.0,8.0,
RAT_LIGHT_001,RAT_LIGHT_001_C36,65.85185185185185,28448.0,8.0,120.0,128.0,0.0,248.0,8.0,
RAT_LIGHT_001,RAT_LIGHT_001_C37,66.44444444444444,28704.0,8.0,428.0,736.0,0.0,1164.0,12.0,
RAT_LIGHT_001,RAT_LIGHT_001_C38,69.15740740740742,29876.0,12.0,148.0,196.0,0.0,344.0,12.0,
RAT_LIGHT_001,RAT_LIGHT_001_C39,69.98148148148148,30232.0,12.0,156.0,40.0,0.0,196.0,4.0,
RAT_LIGHT_001,RAT_LIGHT_001_C40,70.46296296296296,30440.0,4.0,40.0,24.0,0.0,64.0,16.0,
RAT_LIGHT_001,RAT_LIGHT_001_C41,70.62037037037037,30508.0,16.0,152.0,376.0,0.0,528.0,4.0,
RAT_LIGHT_001,RAT_LIGHT_001_C42,71.87962962962963,31052.0,4.0,380.0,600.0,0.0,980.0,4.0,
RAT_LIGHT_001,RAT_LIGHT_001_C43,74.1574074074074,32036.0,4.0,36.0,12.0,0.0,48.0,124.0,
RAT_LIGHT_001,RAT_LIGHT_001_C44,74.27777777777777,32088.0,124.0,332.0,1032.0,0.0,1364.0,12.0,
