Subject_Index,REM_Cycle_Index,Stage,Duration,Source
SC4001EC,SC4001EC_C1,1,870,EDF
SC4001EC,SC4001EC_C1,4,180,EDF
SC4001EC,SC4001EC_C1,3,240,EDF
SC4001EC,SC4001EC_C1,2,30,EDF
SC4001EC,SC4001EC_C1,4,120,EDF
SC4001EC,SC4001EC_C1,3,90,EDF
SC4001EC,SC4001EC_C1,4,30,EDF
SC4001EC,SC4001EC_C1,3,930,EDF
SC4001EC,SC4001EC_C1,2,30,EDF
SC4001EC,SC4001EC_C1,3,30,EDF
SC4001EC,SC4001EC_C1,2,240,EDF
SC4001EC,SC4001EC_C1,3,150,EDF
SC4001EC,SC4001EC_C1,2,960,EDF
SC4001EC,SC4001EC_C1,4,30,EDF
SC4001EC,SC4001EC_C1,3,60,EDF
SC4001EC,SC4001EC_C1,4,30,EDF
SC4001EC,SC4001EC_C1,3,210,EDF
SC4001EC,SC4001EC_C1,4,30,EDF
SC4001EC,SC4001EC_C1,3,60,EDF
SC4001EC,SC4001EC_C1,4,30,EDF
SC4001EC,SC4001EC_C1,3,180,EDF
SC4001EC,SC4001EC_C2,1,870,EDF
SC4001EC,SC4001EC_C2,3,30,EDF
SC4001EC,SC4001EC_C2,4,60,EDF
SC4001EC,SC4001EC_C2,5,30,EDF
SC4001EC,SC4001EC_C2,4,120,EDF
SC4001EC,SC4001EC_C2,3,870,EDF
SC4001EC,SC4001EC_C2,4,30,EDF
SC4001EC,SC4001EC_C2,3,30,EDF
SC4001EC,SC4001EC_C2,4,30,EDF
SC4001EC,SC4001EC_C2,3,300,EDF
SC4001EC,SC4001EC_C2,2,30,EDF
SC4001EC,SC4001EC_C2,3,390,EDF
SC4001EC,SC4001EC_C2,2,30,EDF
SC4001EC,SC4001EC_C2,3,30,EDF
SC4001EC,SC4001EC_C2,2,30,EDF
SC4001EC,SC4001EC_C2,3,30,EDF
SC4001EC,SC4001EC_C2,2,300,EDF
SC4001EC,SC4001EC_C2,3,210,EDF
SC4001EC,SC4001EC_C2,2,60,EDF
SC4001EC,SC4001EC_C2,3,30,EDF
SC4001EC,SC4001EC_C2,2,510,EDF
SC4001EC,SC4001EC_C2,3,120,EDF
SC4001EC,SC4001EC_C2,2,60,EDF
SC4001EC,SC4001EC_C2,3,30,EDF
SC4001EC,SC4001EC_C3,1,240,EDF
SC4001EC,SC4001EC_C3,4,30,EDF
SC4001EC,SC4001EC_C4,1,510,EDF
SC4001EC,SC4001EC_C4,5,30,EDF
SC4001EC,SC4001EC_C4,4,120,EDF
SC4001EC,SC4001EC_C4,5,480,EDF
SC4001EC,SC4001EC_C4,4,90,EDF
SC4001EC,SC4001EC_C4,5,30,EDF
SC4001EC,SC4001EC_C4,4,120,EDF
SC4001EC,SC4001EC_C4,3,690,EDF
SC4001EC,SC4001EC_C4,5,60,EDF
SC4001EC,SC4001EC_C4,4,30,EDF
SC4001EC,SC4001EC_C4,3,990,EDF
SC4001EC,SC4001EC_C4,2,30,EDF
SC4001EC,SC4001EC_C4,3,30,EDF
SC4001EC,SC4001EC_C4,2,90,EDF
SC4001EC,SC4001EC_C4,3,120,EDF
SC4001EC,SC4001EC_C4,2,60,EDF
SC4001EC,SC4001EC_C4,3,60,EDF
SC4001EC,SC4001EC_C4,2,30,EDF
SC4001EC,SC4001EC_C4,3,30,EDF
SC4001EC,SC4001EC_C4,2,30,EDF
SC4001EC,SC4001EC_C4,3,30,EDF
SC4001EC,SC4001EC_C4,2,120,EDF
SC4001EC,SC4001EC_C4,3,210,EDF
SC4001EC,SC4001EC_C4,2,30,EDF
SC4001EC,SC4001EC_C4,3,120,EDF
SC4001EC,SC4001EC_C4,4,60,EDF
SC4001EC,SC4001EC_C5,1,990,EDF
SC4001EC,SC4001EC_C5,5,30,EDF
SC4001EC,SC4001EC_C5,4,150,EDF
SC4001EC,SC4001EC_C6,1,270,EDF
SC4001EC,SC4001EC_C6,5,510,EDF
SC4001EC,SC4001EC_C6,4,90,EDF
SC4001EC,SC4001EC_C6,5,300,EDF
SC4001EC,SC4001EC_C6,4,30,EDF
SC4001EC,SC4001EC_C6,5,540,EDF
SC4001EC,SC4001EC_C6,4,150,EDF
SC4001EC,SC4001EC_C6,5,27240,EDF
SC4002EC,SC4002EC_C1,1,600,EDF
SC4002EC,SC4002EC_C1,3,480,EDF
SC4002EC,SC4002EC_C1,2,30,EDF
SC4002EC,SC4002EC_C1,3,120,EDF
SC4002EC,SC4002EC_C1,2,30,EDF
SC4002EC,SC4002EC_C1,3,30,EDF
SC4002EC,SC4002EC_C1,2,2160,EDF
SC4002EC,SC4002EC_C1,5,30,EDF
SC4002EC,SC4002EC_C1,4,60,EDF
